tick,p_t,surface_value,kinetic_energy,potential_energy,curvature_proxy
118,0.08212566844919787,265,19,246,0.17713903743315507
119,0.08206732673267327,261,16,245,0.17227722772277226
120,0.08206923579359895,264,29,235,0.17243631613324625
121,0.08522561118121648,269,19,250,0.17243589743589743
122,0.08831036401274722,272,21,251,0.17226092463584547
123,0.09124918333408187,266,27,239,0.16625
124,0.09415282047448735,265,19,246,0.1628764597418562
125,0.09706178449654072,271,26,245,0.1646415552855407
126,0.09984558499985255,271,32,239,0.16208133971291866
127,0.1025580489829993,271,22,249,0.159037558685446
128,0.10525890449297605,275,30,245,0.1593279258400927
129,0.10785311023022985,275,24,251,0.15660592255125286
130,0.11046082713093151,282,29,253,0.15842696629213482
131,0.11301424654283296,290,36,254,0.1603095632946379
132,0.11536466020894859,283,25,258,0.15338753387533877
133,0.11774931032954945,284,41,243,0.1518716577540107
134,0.1199662779067798,275,41,234,0.14390371533228677
135,0.12220563641667691,274,35,239,0.1403688524590164
136,0.12443907566369024,277,39,238,0.13940613990941117
137,0.12668224238421863,287,32,255,0.1416584402764067
138,0.12888610408604828,297,29,268,0.14431486880466474
139,0.13100991429541878,303,45,258,0.14518447532343076
140,0.13300192853564935,302,40,262,0.14165103189493433
141,0.13510185032666042,317,35,282,0.14594843462246776
142,0.1369448960952125,308,41,267,0.139555958314454
143,0.13884671708315544,311,39,272,0.13834519572953738
144,0.14074507651219506,318,40,278,0.1390467861827722
145,0.1425556457261726,320,36,284,0.13751611516974646
146,0.14432191316097534,321,53,268,0.1358442657638595
147,0.14595740408905317,314,39,275,0.12996688741721854
148,0.14771369984288635,323,53,270,0.13156822810590632
149,0.14940676221817475,331,37,294,0.13197767145135567
150,0.15109858565787623,341,38,303,0.13398821218074655
151,0.15263967159714376,338,60,278,0.13085559427022841
152,0.15406172853378802,328,42,286,0.12410139992432842
153,0.1555819870288526,331,54,277,0.12327746741154562
154,0.15699710094792801,327,53,274,0.11938663745892661
155,0.15847393308418664,334,54,280,0.11962750716332378
156,0.15993389002410327,343,54,289,0.12052002810962754
157,0.16130442415313823,345,53,292,0.11896551724137931
158,0.16262135556618348,344,56,288,0.11649170335252286
159,0.1639224853725847,345,51,294,0.11465603190428714
160,0.16521538762342952,348,50,298,0.11372549019607843
161,0.16644908046939258,347,59,288,0.11157556270096464
162,0.16760084664955377,340,60,280,0.10728936573051435
163,0.1687265226938172,333,64,269,0.1031279033756581
164,0.16991596202443848,338,59,279,0.10264196781050713
165,0.17107560432594637,342,62,280,0.10202863961813842
166,0.17217021927066037,341,54,287,0.09988283538371412
167,0.17333522141923893,352,63,289,0.10149942329873125
168,0.1743658209847113,349,74,275,0.09883885584820164
169,0.17543095911278292,355,61,294,0.09847434119278779
170,0.17643913180942788,355,55,300,0.09683578832515002
171,0.17748556036582408,363,57,306,0.09755442085460897
172,0.1784657874546495,365,65,300,0.09661196400211752
173,0.17938458818310188,362,60,302,0.09419724173822534
174,0.18033422495879511,366,58,308,0.09377401998462721
175,0.1812710028330091,371,69,302,0.09366321635950517
176,0.18220705105211282,380,69,311,0.09429280397022333
177,0.183082850785015,383,58,325,0.09343742376189315
178,0.18405085133082041,402,70,332,0.09670435410151551
179,0.18487372908627428,403,70,333,0.09533948426780223
180,0.1857297163633614,412,81,331,0.09588084710262974
181,0.18645307090416402,404,76,328,0.09227957971676565
182,0.1871576545873,395,76,319,0.08868432869330939
183,0.1879637744569337,405,76,329,0.08940397350993377
184,0.1886975337536795,406,102,304,0.08814589665653495
185,0.18936605270744325,401,85,316,0.08517417162276976
186,0.1900409195130373,398,69,329,0.08303776340496558
187,0.19076694135391536,405,82,323,0.08329905388728918
188,0.19143635981486642,406,65,341,0.08211974110032362
189,0.1920990104008837,407,76,331,0.08125374326212817
190,0.19277575613967893,414,71,343,0.08141592920353982
191,0.1934565715657017,424,87,337,0.08223429014740109
192,0.19403288773597716,419,77,342,0.0799160785809651
193,0.19464984917829517,423,91,332,0.07951127819548873
194,0.19525802878011675,429,75,354,0.07928294215486971
195,0.19581723194786635,427,77,350,0.07783448778709443
196,0.19636330630958057,425,103,322,0.07639762717957936
197,0.19693885543701878,433,70,363,0.07642075538298623
198,0.19748399381409276,435,92,343,0.075836820083682
199,0.19803394721828702,442,95,347,0.075840768702814
200,0.19863034960198137,461,94,367,0.07783217963869661
201,0.19913035091403053,463,90,373,0.0769486455044042
202,0.19965486967095164,472,87,385,0.07728835762240052
203,0.20016416396316236,480,104,376,0.07749434937035841
204,0.20061350318808038,479,103,376,0.0760558907589711
205,0.20104890377724408,477,77,400,0.07451960631151383
206,0.2014975751207791,478,90,388,0.07378820623649275
207,0.20195479596856766,484,91,393,0.07369062119366626
208,0.20231595786522502,471,102,369,0.07073134104219853
209,0.20272823789693106,472,93,379,0.0698121579647981
210,0.2031254850205694,471,105,366,0.06871899620659469
211,0.2035582686101274,481,88,393,0.06911912631125161
212,0.20397797867153195,489,100,389,0.06939123031077055
213,0.20435096358650592,489,99,390,0.06842031621659438
214,0.20478321411615977,505,100,405,0.06969362406845156
215,0.2052056217362821,521,97,424,0.0709229512659951
216,0.20557039153112447,525,104,421,0.07053607416364369
217,0.2058765548969512,517,111,406,0.06850404134093017
218,0.2062742003996768,534,122,412,0.0697310002611648
219,0.20662836908701032,543,115,428,0.06979434447300771
