tick,surface_value,kinetic_energy,potential_energy,interior_energy
162,630,169,461,0.5185342852742314
163,622,185,437,0.5200400393072513
164,616,184,432,0.521533311666705
165,614,184,430,0.5230142048038955
166,602,154,448,0.524482820410299
167,594,163,431,0.5259392594166428
168,599,207,392,0.5273836219925697
169,607,182,425,0.5288160075468371
170,608,186,422,0.5302365147280018
171,615,191,424,0.5316452414255521
172,649,180,469,0.5330422847714413
173,618,204,414,0.5344277411419924
174,627,177,450,0.5358017061601342
175,636,189,447,0.5371642746979451
176,639,194,445,0.5385155408794688
177,648,182,466,0.5398555980837825
178,651,201,450,0.5411845389482883
179,649,190,459,0.5425024553722108
